Seq,Title,Cost,Style,TagList,apply_space
10042,공부가 일상이 되는 거실 학습공간,3천만원대,모던,"거실공부,공부습관,거실공부,지적호기심,호기심많은아이,깔끔한현관,쾌적한현관,먼지차단,독서습관,책보관함,거실책보관,빌트인플러스거실장,밀란302메이,밀란메이,한샘타원형식탁,거실식탁추천,거실공부,밀란벤치의자,밀란302,밀란메이,다용도식탁,거실공부,바닐라향,책냄새,편안한느낌서재,업무가잘되는,바흐701,바흐인칸토,인칸토식탁,튼튼한식탁,깔끔한다이닝,바흐인칸토,대면형구조주방,카라라타일,빌트인플러스옷장,부부침실빌트인플러스,일체형화장대,스칸디블랙,한샘바스,한샘모던욕실,관리하기쉬운욕실,아이방꾸미기,아이와함께꾸미기,집중이잘되는,공부가잘되는,옷장화장대추천,우주,깔끔아이방,시원한느낌,자립심기르기,주방넓어보이게,편한느낌서재,아이와함께,책읽기좋은,평화로운무드,고요한느낌,화이트빌트인장,빛반사,밝고쾌적하게,쾌적하게,화이트현관장,현관장활용,수납넉넉현관장","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0005,spa_0007,spa_0011,spa_9999"
10043,아이를 위한 거실 놀이터부터 부부의 휴식을 위한 멀티 룸이 있는 공간,3천만원대,모던,"개방감있는거실,거실놀이터,거실놀이터,개방감있는,햇빛잘드는거실,안전한거실,아이가놀기좋은거실,넉넉한주방수납,냉장고수납꿀팁,깔끔한주방,놀이터같은거실,거실놀이터,거실놀이방,빌트인플러스거실장,라운드식탁,차분한다이닝,아이와함께식사,릴렉스침실,넷플릭스보기,먼지차단,온도유지,깔끔중문,쾌적한현관,넓어보이는현관,현관인테리어,멀티룸영화관,부부의영화관,부부휴식,휴식공간,모던욕실,석재패턴,어반그레이,밀란바스,한샘바스,모던한침실,차분한침실,쾌적한느낌,밀란디오,유로405,유로405브리,한샘리클라이너,버니벙커침대,아이벙커침대,아이2층침대,핑크아이방꾸미기,안전한2층침대,한샘버니,부부의공간,부부의서재,부부의멀티룸,부부의영화관,아늑하게,친근한분위기,아일랜드홈바,ㄷ자주방꿀팁,여유롭게요리하기,안전한소파,코너형소파,아이가있는집소파,아이를위한소파,유로바스,한샘화이트바스,한샘유로바스,뉴트로모던,깔끔한욕실,관리하기쉬운,가족욕실,은은한주방,은은한분위기,요리가쉬워지는,장난감정리,장난감정리꿀팁,동화책보관,차분한파우더룸,차분한파우더룸,호텔느낌파우더룸,쾌적한침실,잠이잘오는,편안한식탁,아이와함께식사,원형식탁,차분한다이닝,핑크벤치장,벤치장꾸미기,벤치장인테리어,한샘버니벙커,버니벙커침대,2층침대,아이2층침대,핑크2층침대,현관장활용,그레이현관장,현관리모델링","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0002,spa_0005,spa_0007,spa_0011,spa_9999"
10045,싱그러운 내추럴 스타일 속 취미 생활,3천만원대,모던,"거실콘솔장,군더더기없는,완벽한조화,부부침실,깔끔화장대,모던화이트화장대,넓게쓰는현관,센스있는첫인상,현관첫인상,먼지차단,넓게쓰는현관,현관벤치장,넓은입구,현관꾸미기,ㄷ자형주방팁,요리하고싶어지는주방,넓은조리대,마그네틱보드모듈,창의적인학습공간,미니스파,스파,아티골드,내추럴욕실,미니스파,스파,아티골드,내추럴욕실,따듯한목욕,발코니활용,발코니음악실,베이지그린거실,자연풍거실,비확장거실인테리어,천장시공,발코니취미공간,빌트인TV장,아트월같은티비장,아트월같은,산뜻한아이방,아이방꾸미기,옐로우포인트,공부가잘되는,학업이잘되는,서재1인소파,서재휴식,휴식공간,서재붙박이장설치,서재드레스룸,옐로우포인트,아이방꾸미기,상큼한아이방,요리가취미인,은은한서재,h형책상,h형책상꿀팁,화이트톤서재,집중이잘되는서재,은은한욕실,깔끔욕실,유지하기쉬운욕실,조이수납장,조이s,한샘조이,수납은조이,주방수납공간,주방수납넉넉,편안한숙면,차분한분위기,차분한침실,한샘키친,모카키친,ㄷ자주방꿀팁,화이트폴딩도어,발코니폴딩도어,환기가잘되는,쾌적한주방,h형서재,음악감상서재,CD진열","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0005,spa_0007,spa_0011,spa_9999"
10046,아기와 아내를 위해 준비한 선물,5천만원대,모던,"고급스러운,석재패턴,석재아트월,세련된거실,내추럴서재,집중이잘되는,h형책상,내추럴욕실,우드프레임거울,유로아티골드,모던화이트욕실,관리하기쉬운욕실,카라라화이트,수납공간넉넉한욕실,미술작업공간,개방감있는서재,작업이잘되는서재,내추럴서재,밀란중문,중문인테리어,쾌적한현관꾸미기,안전한중문,비확장거실꾸미기,발코니홈카페,사랑스러운,파스텔톤,아기방,유아방,아기침대,아이옷장,조이옷장,조이s,유로604,프랜치화이트,프랜치드레스룸,유로604,프랜치화이트,프랜치침실,컴팩트한주방꾸미기,작은주방인테리어,클래식화이트주방,카라라화이트판넬,한샘중문,밀란중문,먼지차단,온도유지,쾌적한현관,현관리모델링,한샘키친,클래식주방,클래식키친,홈카페,발코니홈카페,햇빛이잘드는거실,홈카페거실,화이트거실,모던화이트,화이트욕실,깔끔한욕실,관리하기쉬운","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0005,spa_0007,spa_0004,spa_0011,spa_9999"
10047,이렇게 하면 훨씬 넓어 보여요,4천만원대,모던,"거실확장,6인식탁,터닝도어,시스템에어컨,다운라이트,라인조명,패브릭,암막커튼,무드,주방인테리어,라인조명,무드화이트,화이트키친,삼성비스포크,바흐그레이,붙박이장,안방인테리어,빌트인오븐,가전기기장,샤워부스,욕실,거울조명,샤워부스,욕실,거울조명,유로5매트오크,아트월,장식장,수납장,조명인테리어,아트월,장식장,수납장,조명인테리어,복도등,자녀방인테리어,가벽,붙박이장,초슬림중문,3연동중문,대면형주방,인터폰교체,오픈선반,거실인테리어,현관인테리어,한샘바스,리버베이지,현관인테리어","spa_0008,spa_0001,spa_0006,spa_0010,spa_0007,spa_9999"
1005,종로구 평창동 단독주택 모던그레이 주방디자인,1천만원대,모던,,spa_0010
10052,젊은 부부의 취향이 담긴 32평 하우스,5천만원대,모던,"20대서재,홈카페,독서하기좋은,커피마시기좋은,3연동중문,먼지차단,온도유지,거실숨김수납,바흐702소파,바흐702인피니,인피니소파,거울현관장,현관전신거울,손쉬운신발정리,공용욕실리모델링,스칸디블랙,모던타일,시크한욕실,먼지없는,먼지없는옷장,먼지없는드레스룸,먼지없는옷장,오픈형드레스룸,밀란303,밀란303거실장,매트거실장,분리형주방리모델링,화이트주방,요리하고싶어지는,분리형주방팁,분리형주방인테리어,블랙아트월,블랙글래스상부장,고급스러운,호텔식욕실,빌트인냉장고,주방동선꿀팁,서재숨김수납,20대부부서재,20대서재,스칸디블랙,모던욕실,관리하기쉬운,아트월베드,깔끔한침실,젊은부부침실,젊은부부서재,20대부부서재,코튼그레이,데스크화장대,멀티화장대,쾌적한거실,발코니폴딩도어,쾌적한거실,비확장거실인테리어,부부쉬는시간,쉬는시간,한샘중문,먼지차단,화이트붙박이장,먼지없는붙박이장,TV장,숨김수납,거실숨김수납","spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0005,spa_0007,spa_0011,spa_9999"
10053,남매둥이의 개성을 존중한 집,5천만원대,모던,"1인홈카페,햇빛좋은발코니,3연동중문,현관리모델링,먼지차단,외풍차단,ㄱ자주방꿀팁,한샘키친,ㄱ자플랜,실용적인주방공간,가죽프레임소파,중후한매력,미니멀욕실,미니멀모던욕실,밀란202쉘소파,발코니홈카페,발코니휴식,바흐903,애쉬빛거실,바흐소파,가죽소파,심플한현관,벤치형현관,현관장거울,옷매무새,아이디s책상,집중하기좋은,공부가잘되는책상,아이디s책장,학생물건정리,고등학생물건정리,아이보리톤방꾸미기,넉넉한학생수납,옷장겸화장대,아이방꾸미기,실용적인옷장,원목식탁다이닝,내추럴다이닝,원목식탁다이닝,즐거운식사,외식하는듯한,월넛거실장,포인트거실장,작은방꾸미기,큰거울활용,작은욕실꾸미기,침실벽면수납,올인원빌트인,편견깨는방,하루의마무리,심플모던욕실,작은욕실꾸미기,활동성좋은,시원한공간","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0002,spa_0007,spa_0011,spa_9999"
10054,학습 효율 높이는 공간 활용 인테리어,3천만원대,모던,"널찍한소파,TV없는거실,아이들을위한거실,빌트인플러스벤치장,다함께모이는거실,아이가있는집거실,밀란202,먼지차단,먼지차단,중문효과,온도유지,안전한현관,냉기차단,바흐인칸토,빌트인으로넓게,빌트인주방,빌트인장활용,빌트인으로넓게,빌트인플러스벤치장,벤치장,거실벤치장,아이들을위한거실,장난감정리,빌트인플러스핑크,아이방꾸미기,편안한아이방,빌트인플러스TV장,TV있는침실,삶의질상승,냉기차단중문,세련미넘치는,세련된욕실,손님용욕실,알파룸,멀티룸,학습과휴식을동시에,알파룸,집중이잘되는,작은영화관,자투리공간멀티룸,작은방활용,주방알찬수납,주방공간효율,넉넉한조리공간,쾌적한욕실,밝은욕실,LED거울욕실,쾌적한침실,베이지침실,아트월침대헤드,포근한쉼터,아이방꾸미기,핑크아이방,호텔형침실,글래드그레이침대,최고의숙면,호텔형침실,글래드그레이침대,최고의숙면,유로503,화이트주방,빌트인냉장고,빌트인주방활용,확장형거실꿀팁,1인소파활용,생기있는거실","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0005,spa_0007,spa_0011,spa_9999"
10055,노는 게 제일 좋은 아이를 위한 집,3천만원대,모던,"가족휴식공간,가족휴식소파,소호소파,얼룩에강한소파,감성을채워주는,아이방벤치장,스스로정리하는습관,거울있는현관장,외출전마무리,깔끔한다이닝,로맨틱다이닝,음식이맛있는,메이타원형식탁,밀란302,밀란302메이,심플한다이닝,오염에강한식탁,모노톤욕실,목욕이즐거운,빌트인거실장활용,장난감정리,빌트인플러스거실장,아이물건수납,빌트인플러스거실장,장난감수납,아이물건수납,숨김수납,생각이자라는거실,환한거실,서재철제선반,서재선반,수납걱정없는,모던부부침실,지루하지않은,스칸디블랙,모던욕실,모던타일,실용적인현관,외풍차단하기,알록달록,알록달록아이방,요리가즐거운,밥솥수납,전자레인지수납,요리하고싶어지는주방,요리가즐거운,작은방활용,서재드레스룸,지루하지않은,알록달록침실,포인트색상,책읽기좋은,독서하기좋은,아이와함께서재,침대헤드빌트인장,수납공간넉넉한침실,침실3단서랍장,은은한포인트,포인트서랍장","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0002,spa_0005,spa_0007,spa_0011,spa_9999"
